event_id,domain,event_year,institution,event_type,policy_or_case,adoption_object,attitude_axis,benchmark_question,predicted_time_profile,source_url,notes
US-1975-ISDEAA,native_policy,1975,Congress,adoption,Indian Self-Determination and Education Assistance Act,Allow tribes to contract and administer federal Indian programs,tribal sovereignty; self-determination; federal trust,Should federally recognized tribes directly manage programs formerly run by federal agencies?,Weak in 1950s termination era; rising sharply by 1970s,https://www.bia.gov/index.php/bia/ois/dsd/Training/About,Pairs with 1934 IRA and 1978 ICWA.
US-1976-BUCKLEY,campaign_finance,1976,Supreme Court,judicial_mixed,Buckley v. Valeo,Uphold contribution limits and disclosure while invalidating expenditure limits,money in politics; speech; corruption; equality,Should campaign spending limits be invalidated as speech restrictions while contribution limits and disclosure survive?,Weak before modern campaign-finance regime; high after Watergate reform and First Amendment campaign-spending doctrine,https://www.oyez.org/cases/1975/75-436,Core bridge to Citizens United.
US-1976-GREGG,criminal_justice,1976,Supreme Court,judicial_validation,Gregg v. Georgia,Permit death penalty under guided-discretion statutes,punishment; retribution; procedural regulation,Should revised death-penalty laws survive after procedural safeguards are added?,Low immediately after Furman; higher in 1970s law-and-order context,https://supreme.justia.com/cases/federal/us/428/153/,Backlash/re-equilibration after Furman.
US-1976-TSCA,environment_consumer,1976,Congress,adoption,Toxic Substances Control Act,Regulate chemicals posing unreasonable risk,chemical safety; expert regulation; industry oversight,Should EPA have authority to require testing and regulate toxic chemicals?,Low in 1930-1950; rising by 1970s environmental health concern,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,Complements FDA and environmental rows.
US-1977-CRA,housing_credit,1977,Congress,adoption,Community Reinvestment Act,Require bank regulators to evaluate whether banks meet local credit needs including low- and moderate-income neighborhoods,redlining; banking; racial inequality; community investment,Should banks have a federal obligation to help meet credit needs in communities where they operate?,Low in 1930-1950; rising after fair-housing and anti-redlining movements,https://www.federalreservehistory.org/essays/community-reinvestment-act,High-priority housing-credit civil-rights event.
US-1977-FED-DUAL-MANDATE,macroeconomic_governance,1977,Congress,adoption,Federal Reserve Reform Act,Write maximum employment and stable prices goals into Federal Reserve Act,inflation; employment; central-bank mandate,Should the Federal Reserve have statutory goals of maximum employment and stable prices?,Low before postwar macro policy; high by 1970s but shifts with inflation concerns,https://www.federalreserve.gov/aboutthefed/fract.htm,Pairs with 1946 and 1978.
US-1978-AIRLINE-DEREG,deregulation,1978,Congress,adoption,Airline Deregulation Act,Deregulate airline routes fares and market entry,competition; consumer prices; regulatory capture,Should federal regulators stop controlling airline routes and fares?,Low in 1930-1960 regulated-economy eras; rising in 1970s deregulation turn,https://www.faa.gov/about/history/brief_history,Key deregulatory shift.
US-1978-BAKKE,civil_rights_education,1978,Supreme Court,judicial_mixed,Regents of the University of California v. Bakke,Reject racial quotas but allow race as one admissions factor,affirmative action; remedial equality; merit,Should universities be allowed to consider race to achieve diversity while forbidding fixed quotas?,Low in 1930; rises after civil-rights era; contested by 1970s and later declines,https://www.oyez.org/cases/1979/76-811,Excellent nonmonotone civil-rights benchmark.
US-1978-FISA,privacy_security,1978,Congress,adoption,Foreign Intelligence Surveillance Act,Create court-supervised foreign intelligence surveillance process,national security; surveillance; oversight,Should foreign-intelligence surveillance inside the U.S. require statutory court oversight?,Low before Church Committee; high after 1970s intelligence-abuse revelations; altered after 2001,https://www.intelligence.senate.gov/1978/10/25/laws-foreign-intelligence-surveillance-act-1978-originally-enacted/,Privacy/security institutional benchmark.
US-1978-HUMPHREY-HAWKINS,macroeconomic_governance,1978,Congress,adoption,Full Employment and Balanced Growth Act,Set explicit full-employment and inflation goals for federal policy,employment; inflation; Keynesian governance,Should federal law set numerical employment and inflation goals and require Fed reporting?,Rises after 1946; tension in 1970s stagflation; lower after monetarist turn,https://www.federalreservehistory.org/essays/humphrey-hawkins-act,Good macro-attitude probe.
US-1978-ICWA,native_policy_family,1978,Congress,adoption,Indian Child Welfare Act,Set federal standards for custody placement of Native children,tribal sovereignty; family; child welfare; assimilation,Should federal law give tribes and Native families special protections in child-custody proceedings?,Low in assimilation/termination periods; high after 1970s self-determination,https://www.bia.gov/bia/ois/dhs/icwa,Strong sovereignty/family benchmark.
US-1978-PREGNANCY-DISCRIM,gender_labor,1978,Congress,adoption,Pregnancy Discrimination Act,Define pregnancy discrimination as sex discrimination under Title VII,gender equality; work; motherhood,Should employment discrimination because of pregnancy be treated as sex discrimination?,Low in 1930; rises after Title VII and feminism; high by late 1970s,https://www.congress.gov/bill/95th-congress/house-bill/5058,Good statutory-interpretation response to court limits.
US-1980-CERCLA,environment,1980,Congress,adoption,Superfund CERCLA,Create hazardous waste cleanup liability and trust fund,environmental liability; toxic waste; corporate responsibility,Should federal law impose cleanup liability for hazardous waste sites?,Low before environmental-health salience; high after Love Canal and late-1970s toxic-waste politics,https://www.epa.gov/superfund/superfund-cercla-overview,Post-1970 environmental expansion.
US-1980-DIDMCA,finance_deregulation,1980,Congress,adoption,Depository Institutions Deregulation and Monetary Control Act,Phase out deposit-rate ceilings and expand Fed reserve requirements,financial deregulation; inflation; competition,Should federal law deregulate deposit interest rates and reshape monetary-control tools?,Low in New Deal/regulated-finance era; rising in inflationary 1970s,https://www.federalreservehistory.org/essays/depository-institutions-deregulation-and-monetary-control-act-of-1980,Finance-regime transition.
US-1980-REFUGEE-ACT,immigration,1980,Congress,adoption,Refugee Act of 1980,Create general refugee and asylum framework aligned with international definition,humanitarian protection; Cold War; immigration control,Should U.S. law establish a general refugee admissions and asylum system independent of ad hoc group-specific policy?,Low-to-medium before WWII; rises after Holocaust Cold War and Vietnam-era refugee politics,https://www.uscis.gov/sites/default/files/document/fact-sheets/INSHistory.pdf,Complements 1965 and 1986 immigration probes.
US-1983-CHADHA,separation_of_powers,1983,Supreme Court,judicial_invalidation,INS v. Chadha,Invalidate one-house legislative veto of executive action,administrative state; congressional control; separation of powers,Should Congress be allowed to reserve a one-house veto over executive implementation decisions?,More plausible during administrative-state growth; invalidation rises with formal separation-of-powers doctrine,https://www.oyez.org/cases/1981/80-1832,Adds administrative-state constitutional constraint.
US-1984-CHEVRON,administrative_state,1984,Supreme Court,judicial_validation,Chevron U.S.A. Inc. v. NRDC,Require judicial deference to reasonable agency interpretations of ambiguous statutes,expert agencies; courts; delegation; statutory interpretation,Should courts defer to reasonable agency interpretations when statutes are ambiguous?,Rises with mature administrative state; later declines with anti-deference legal movement,https://www.oyez.org/cases/1980-1989/1983/1983_82_1005,Canonical administrative-law benchmark.
US-1984-SENTENCING,criminal_justice,1984,Congress,adoption,Sentencing Reform Act,Create Sentencing Commission and federal sentencing guidelines,crime; discretion; uniformity; punishment,Should Congress reduce judicial sentencing discretion through federal guidelines?,Low in rights-era 1960s; rising in late-1970s/1980s crime-control era,https://www.fjc.gov/history/timeline/us-sentencing-commission,Institutional punitive-turn benchmark.
US-1986-BOWERS,privacy_lgbtq,1986,Supreme Court,judicial_validation,Bowers v. Hardwick,Uphold criminal prohibition on same-sex intimacy,sexuality; morality; privacy; criminal law,Should a state be allowed to criminalize consensual same-sex intimacy?,High in 1930-1980 moral-regulation frames; declines before Lawrence,https://www.oyez.org/cases/1985/85-140,Necessary pair for Lawrence.
US-1986-IRCA,immigration,1986,Congress,adoption,Immigration Reform and Control Act,Combine legalization for many undocumented immigrants with employer sanctions,immigration enforcement; amnesty; labor markets,Should immigration reform legalize long-resident undocumented immigrants while penalizing unauthorized hiring?,Low in 1930-1950; more plausible after post-1965 immigration and 1980s enforcement politics,https://www.uscis.gov/glossary-term/50744,Good mixed coalition test.
US-1986-TAX-REFORM,tax,1986,Congress,adoption,Tax Reform Act of 1986,Broaden base and lower marginal income-tax rates,tax fairness; efficiency; supply-side politics,Should tax reform trade fewer deductions for lower marginal rates?,Low in New Deal/high-rate era; rising by 1970s-1980s anti-tax and efficiency discourse,https://home.treasury.gov/system/files/131/Report-Tax-Reform-v1.pdf,Treasury report is broader source; event year widely established.
US-1988-CIVIL-LIBERTIES-ACT,civil_liberties_reparations,1988,Congress,adoption,Civil Liberties Act of 1988,Apologize and provide redress for Japanese American internment,reparations; national apology; race; wartime rights,Should the federal government apologize and pay redress for WWII Japanese American incarceration?,Very low in 1940s; rising after civil-rights and historical reckoning; high by 1980s,https://www.archives.gov/news/topics/japanese-american-internment,Pairs with Korematsu.
US-1990-ADA,disability_rights,1990,Congress,adoption,Americans with Disabilities Act,Create broad disability antidiscrimination protections,disability; access; civil rights; accommodation,Should federal civil-rights law require reasonable accommodation and accessible public life for disabled people?,Low in 1930-1950; rising after rights framework and disability movement; high by 1990,https://www.dol.gov/node/22355,Civil-rights expansion beyond race/gender.
US-1990-CLEAN-AIR-AMEND,environment,1990,Congress,adoption,Clean Air Act Amendments of 1990,Address acid rain air toxics and ozone depletion with market-based and regulatory tools,environment; markets; science; federal regulation,Should federal air law use emissions trading and stronger toxic/acid-rain controls?,Low before 1970; plausible by 1980 after environmentalism and market-based policy turn,https://www.epa.gov/clean-air-act-overview/clean-air-act-requirements-and-history,Tests evolution within environmental consensus.
US-1991-CIVIL-RIGHTS-ACT,civil_rights_labor,1991,Congress,adoption,Civil Rights Act of 1991,Expand remedies and clarify burdens in employment discrimination law,employment discrimination; remedies; backlash to court decisions,Should Congress strengthen employment-discrimination remedies and reverse restrictive civil-rights interpretations?,Low before Title VII; plausible after 1964; high after late-1980s civil-rights decisions,https://www.eeoc.gov/statutes/civil-rights-act-1991,Civil-rights statutory-maintenance benchmark.
US-1992-CASEY,privacy_family,1992,Supreme Court,judicial_mixed,Planned Parenthood v. Casey,Replace Roe trimester framework with undue-burden standard while reaffirming core abortion right,abortion; stare decisis; state regulation,Should the Court retain abortion rights but allow greater state regulation unless it imposes undue burden?,Low pre-1960; high after Roe but shaped by backlash by 1990s,https://www.law.cornell.edu/wex/planned_parenthood_of_southeastern_pennsylvania_v_casey_%281992%29,Nonmonotone doctrinal compromise.
US-1993-BRADY,guns_crime,1993,Congress,adoption,Brady Handgun Violence Prevention Act,Require background checks for handgun purchases through licensed dealers,guns; crime; federal checks,Should federal law require background checks before licensed handgun sales?,Low-to-medium in 1930-1960; higher after modern crime and gun-control politics; contested post-Heller,https://www.atf.gov/rules-and-regulations/laws-alcohol-tobacco-firearms-and-explosives/gun-control-act/brady-,Gun-control evolution after 1968.
US-1993-FMLA,labor_family,1993,Congress,adoption,Family and Medical Leave Act,Require job-protected unpaid family and medical leave,work-family; gender; labor standards,Should federal law guarantee job-protected leave for childbirth illness and family care?,Low in 1930-1950; rising with women in labor force and family-policy discourse,https://www.dol.gov/agencies/whd/fmla,Family-policy benchmark.
US-1993-NVRA,democracy,1993,Congress,adoption,National Voter Registration Act,Require motor-voter and public-agency voter registration opportunities,participation; administrative access; election federalism,Should federal law require states to simplify voter registration through motor-vehicle and public-assistance offices?,Low in 1930-1960; rising after voting-rights expansion; partisan contest by 1990s,https://www.congress.gov/bill/103rd-congress/house-bill/2/all-info,Procedural democracy benchmark.
US-1994-CRIME-BILL,criminal_justice,1994,Congress,adoption,Violent Crime Control and Law Enforcement Act,Expand policing prisons sentencing incentives and include assault-weapons ban and VAWA title,crime; punishment; federal grants; public safety,Should federal law expand police funding sentencing severity and prison incentives to fight violent crime?,Low in 1960 rights era; high in 1980s-1990s crime politics; declines in reform era,https://www.congress.gov/bill/103rd-congress/house-bill/3355,Composite event; can split if needed.
US-1994-NAFTA,trade,1994,Congress/President,adoption,North American Free Trade Agreement,Create a North American free-trade zone with Canada and Mexico,trade liberalization; globalization; labor; sovereignty,Should the United States enter a continent-wide free-trade agreement with Canada and Mexico?,Low in 1930 protectionist context; rises after postwar trade liberalization and 1980s globalization,https://ustr.gov/about-us/policy-offices/press-office/ustr-archives/north-american-free-trade-agreement-nafta,Adds trade/globalization dimension missing from v1.
US-1994-VAWA,gender_crime,1994,Congress,adoption,Violence Against Women Act,Create federal resources and remedies for gender-based violence,gender; crime; family violence; federal role,Should the federal government treat domestic and sexual violence as a national civil-rights and criminal-justice problem?,Low in 1930-1950 private-family frame; rising in 1970s-1990s feminism/crime politics,https://www.justice.gov/ovw/history,Could split from 1994 crime bill.
US-1995-LOPEZ,federalism_state_capacity,1995,Supreme Court,judicial_invalidation,United States v. Lopez,Invalidate Gun-Free School Zones Act as beyond Commerce Clause power,federalism; commerce power; guns; education,Should Congress be able to ban gun possession near schools under the Commerce Clause?,High under post-Wickard commerce doctrine; lower with Rehnquist Court federalism revival,https://supreme.justia.com/cases/federal/us/514/549/,Core federalism retrenchment event.
US-1996-DOMA,lgbtq_family,1996,Congress,adoption,Defense of Marriage Act,Define marriage federally as opposite-sex and permit nonrecognition of same-sex marriages,sexuality; marriage; federalism; backlash,Should federal law define marriage as only between one man and one woman?,High in 1930-1990; declines sharply by 2010s; repealed/overridden later,https://www.congress.gov/committee-report/104th-congress/house-report/664/1,Important backlash/reversal event.
US-1996-PRWORA,welfare,1996,Congress,adoption,Personal Responsibility and Work Opportunity Reconciliation Act,Replace AFDC with TANF work requirements and time limits,poverty; dependency; work; federalism,Should cash welfare be converted to time-limited work-conditioned block grants?,Low in New Deal/Great Society entitlement frame; rises by 1980s-1990s welfare backlash,https://oui.doleta.gov/dmstree/uipl/uipl96/uipl_3796.htm,Welfare-state retrenchment benchmark.
US-1996-TELECOM,communications,1996,Congress,adoption,Telecommunications Act of 1996,Deregulate and restructure communications markets,competition; media; technology; regulation,Should communications law promote competition by relaxing ownership and service-line restrictions?,Low in New Deal public-utility model; rising by 1980s-1990s deregulation/tech optimism,https://www.fcc.gov/general/telecommunications-act-1996,Useful technology/regulation probe.
US-1997-PRINTZ,federalism_guns,1997,Supreme Court,judicial_invalidation,Printz v. United States,Invalidate federal requirement that state officers conduct Brady Act background checks,federalism; guns; anti-commandeering; law enforcement,Should Congress be able to require state executive officers to administer federal background-check law?,More plausible under broad federal capacity; lower under 1990s anti-commandeering doctrine,https://www.oyez.org/cases/1996/95-1478,Pairs with Brady and Lopez.
US-1999-GLBA,finance_deregulation,1999,Congress,adoption,Gramm-Leach-Bliley Act,Repeal major Glass-Steagall affiliation restrictions,financial modernization; deregulation; universal banking,Should commercial banks securities firms and insurers be allowed to affiliate under one financial holding company?,Low in 1930-1960; rising by 1980s-1990s financial modernization discourse,https://www.federalreservehistory.org/essays/gramm-leach-bliley-act,Pairs with 1933 Glass-Steagall.
US-2000-BUSH-GORE,democracy_elections,2000,Supreme Court,judicial_adoption,Bush v. Gore,Stop Florida presidential recount on equal-protection grounds,election administration; judicial power; equal protection; legitimacy,Should the Supreme Court stop a presidential recount because inconsistent vote-counting standards violate equal protection?,Low before modern election-litigation infrastructure; high only in 2000 crisis context,https://www.oyez.org/cases/2000/00-949,Crisis election-administration benchmark.
US-2001-NCLB,education_accountability,2001,Congress,adoption,No Child Left Behind Act,Require standards testing accountability and interventions under federal education law,education accountability; federalism; testing; inequality,Should federal education aid be tied to standardized testing accountability and school performance targets?,Low before standards movement; rising after 1980s-1990s education accountability politics,https://www.congress.gov/bill/107th-congress/house-bill/1,Major education-policy omission.
US-2001-PATRIOT,security_surveillance,2001,Congress,adoption,USA PATRIOT Act,Expand surveillance investigative and counterterrorism authorities after 9/11,security; civil liberties; terrorism,Should Congress expand surveillance and investigative powers to prevent terrorism?,Low before 2001 absent crisis; spikes immediately after 9/11; later declines with privacy backlash,https://www.congress.gov/107/plaws/publ56/PLAW-107publ56.pdf,Crisis-shock benchmark.
US-2002-HAVA,democracy,2002,Congress,adoption,Help America Vote Act,Modernize election administration after 2000 election failures,election integrity; administration; technology,Should federal law fund and regulate election administration standards after ballot-counting failures?,Low before 2000; high after Bush v. Gore/Hanging chads; later partisan contest,https://www.eac.gov/about/help-america-vote-act,Election-administration benchmark.
US-2002-HOMELAND-SECURITY,security_state,2002,Congress,adoption,Homeland Security Act of 2002,Create the Department of Homeland Security and reorganize domestic security functions,terrorism; executive reorganization; border security; emergency state,Should Congress create a cabinet-level department to consolidate domestic security after a terrorist attack?,Low before 2001; spikes after 9/11,https://www.dhs.gov/homeland-security-act-2002,Pairs with PATRIOT Act.
US-2002-SOX,finance_corporate_governance,2002,Congress,adoption,Sarbanes-Oxley Act,Create stronger accounting oversight executive certification and internal-control rules for public companies,corporate fraud; investor protection; accounting; crisis response,Should Congress impose stricter public-company accounting oversight and CEO/CFO certification after corporate scandals?,Low in deregulatory 1990s; high after Enron and WorldCom,https://www.sec.gov/news/extra/soxpress.htm,Financial-regulation crisis benchmark.
US-2003-LAWRENCE,privacy_lgbtq,2003,Supreme Court,judicial_adoption,Lawrence v. Texas,Invalidate criminal bans on same-sex intimacy,sexuality; privacy; morality; criminal law,Should states be barred from criminalizing consensual adult same-sex intimacy?,Very low in 1930-1960; rising by 1980s-2000s; high after LGBTQ rights shift,https://www.oyez.org/cases/2002/02-102,Bridge from Griswold/Roe to Obergefell.
US-2003-MEDICARE-MMA,health_social_insurance,2003,Congress,adoption,Medicare Prescription Drug Improvement and Modernization Act,Create Medicare Part D prescription drug benefit and expand private-plan role,social insurance; pharmaceuticals; privatization; aging,Should Medicare add a prescription-drug benefit delivered substantially through private plans?,Low before Medicare; rising as prescription drugs become central to elderly care and market-based reform grows,https://www.cms.gov/History/,Major health-policy expansion between Medicare and ACA.
US-2007-MASS-EPA,climate_environment,2007,Supreme Court,judicial_adoption,Massachusetts v. EPA,Hold greenhouse gases can be air pollutants under the Clean Air Act and require EPA to justify inaction,climate change; administrative law; environmental science; standing,Should EPA have authority under the Clean Air Act to regulate greenhouse gases if they endanger public health or welfare?,Low before climate science salience; rising sharply by 1990s-2000s,https://www.oyez.org/cases/2006/05-1120,Climate-regulation bridge from Clean Air Act.
US-2008-HELLER,guns,2008,Supreme Court,judicial_adoption,District of Columbia v. Heller,Recognize individual Second Amendment right to possess a handgun at home,guns; individual rights; originalism; crime,Should the Second Amendment protect an individual right to keep a handgun at home independent of militia service?,Not obviously monotone; rises with modern gun-rights movement and originalism from 1970s-2000s,https://supreme.justia.com/cases/federal/us/554/570/,Conservative legal-movement benchmark.
US-2009-ARRA,macroeconomic_governance,2009,Congress,adoption,American Recovery and Reinvestment Act,Enact large fiscal stimulus through spending transfers tax cuts and public investment after financial crisis,fiscal stimulus; recession; Keynesian policy; state capacity,Should Congress enact a large deficit-financed stimulus package during a severe recession and financial crisis?,High in New Deal/Keynesian frames; lower in balanced-budget eras; spikes after 2008,https://oig.treasury.gov/ig_recoveryact,Modern macro-crisis benchmark.
US-2010-ACA,health_social_insurance,2010,Congress,adoption,Affordable Care Act,Expand insurance coverage through exchanges subsidies Medicaid expansion and individual mandate,health care; markets; redistribution; federal power,Should federal law require/encourage health coverage and subsidize near-universal insurance access?,Low in 1930-1940; rises after Medicare; contested but plausible by 1990s-2010,https://www.congress.gov/bill/111th-congress/house-bill/3590,Pairs with NFIB.
US-2010-CITIZENS-UNITED,campaign_finance,2010,Supreme Court,judicial_invalidation,Citizens United v. FEC,Invalidate restrictions on independent corporate election expenditures,speech; corporations; money in politics,Should corporate independent political spending be protected as speech from federal limits?,Likely low in New Deal/Progressive frames; rises with deregulatory First Amendment doctrine,https://supreme.justia.com/cases/federal/us/558/310/,Conservative legal-movement benchmark.
US-2010-DODD-FRANK,finance,2010,Congress,adoption,Dodd-Frank Act,Create post-crisis financial regulation including CFPB and systemic-risk oversight,financial stability; consumer protection; crisis response,Should federal law expand financial oversight and create a consumer financial protection agency after crisis?,Low in deregulatory 1990s; high after 2008 crisis; resembles 1930s finance-regulation revival,https://www.congress.gov/bill/111th-congress/house-bill/4173,Crisis and regime-cycle benchmark.
US-2010-MCDONALD,guns,2010,Supreme Court,judicial_adoption,McDonald v. Chicago,Incorporate individual Second Amendment right against states,guns; federalism; incorporation,Should the individual right to keep and bear arms bind state and local governments?,Low before modern incorporation/gun-rights movement; high after Heller for conservative court model,https://www.oyez.org/cases/2009/08-1521,Pair with Heller.
US-2012-NFIB,health_federalism,2012,Supreme Court,judicial_mixed,NFIB v. Sebelius,Uphold ACA individual mandate as tax while limiting coercive Medicaid expansion,health care; federalism; taxation; commerce power,Should the ACA mandate and Medicaid expansion survive constitutional challenge?,Plausibility rises with modern welfare state; commerce rationale weaker in conservative legal era,https://www.oyez.org/cases/2011/11-393,Mixed validation/invalidation event.
US-2013-SHELBY,democracy_civil_rights,2013,Supreme Court,judicial_invalidation,Shelby County v. Holder,Invalidate Voting Rights Act coverage formula for preclearance,race; federalism; voting; equal sovereignty,Should Congress be allowed to keep using the old VRA coverage formula for preclearance?,High in 1965-1980 civil-rights frame; declines with colorblind/federalism doctrine by 2010s,https://www.justice.gov/crt/shelby-county-decision,Backlash/retrenchment benchmark.
US-2013-WINDSOR,lgbtq_family,2013,Supreme Court,judicial_invalidation,United States v. Windsor,Invalidate DOMA federal definition denying recognition to same-sex marriages,sexuality; marriage; equality; dignity,Should the federal government deny recognition to same-sex marriages valid under state law?,DOMA support high before 2000; invalidation plausibility rises sharply 2000-2013,https://www.law.cornell.edu/wex/united_states_v._windsor_%282013%29,Pairs with DOMA and Obergefell.
US-2014-HOBBY-LOBBY,religion_health,2014,Supreme Court,judicial_adoption,Burwell v. Hobby Lobby Stores,Recognize RFRA-based religious exemption for closely held corporations from contraceptive mandate,religious liberty; corporate personhood; contraception; health regulation,Should closely held corporations receive religious exemptions from health-insurance contraceptive coverage mandates?,Low before RFRA/culture-war litigation; high in 2010s religious-liberty backlash,https://www.oyez.org/cases/2013/13-354,Adds religious-exemption backlash path.
US-2015-OBERGEFELL,lgbtq_family,2015,Supreme Court,judicial_adoption,Obergefell v. Hodges,Require states to license and recognize same-sex marriages,sexuality; marriage; equality; due process,Should same-sex couples have a constitutional right to marry nationwide?,Very low in 1930-1980; rises after 1990s-2010s public-opinion and legal shifts,https://www.oyez.org/cases/2014/14-556,Ideal long-horizon adoption test.
US-2017-TCJA,tax,2017,Congress,adoption,Tax Cuts and Jobs Act,Cut corporate and individual taxes and restructure parts of business and international taxation,tax cuts; corporate taxation; supply-side policy; redistribution,Should Congress sharply reduce the corporate tax rate and lower many individual tax burdens through deficit-financed tax reform?,Low in New Deal high-tax frame; rising with supply-side and anti-tax politics after 1970s,https://www.finance.senate.gov/legislation/details/tax-cuts-and-jobs-act,Modern tax-regime benchmark.
US-2018-JANUS,labor_first_amendment,2018,Supreme Court,judicial_invalidation,Janus v. AFSCME,Invalidate mandatory public-sector union agency fees under the First Amendment,public-sector unions; compelled speech; labor finance; conservative legal movement,Should public-sector unions be barred from collecting agency fees from nonmembers on First Amendment grounds?,Low during labor-expansion eras; rising with public-sector union backlash and First Amendment deregulatory doctrine,https://www.oyez.org/cases/2017/16-1466,Labor retrenchment/free-speech benchmark.
US-2019-RUCHO,democracy_redistricting,2019,Supreme Court,judicial_invalidation,Rucho v. Common Cause,Hold partisan-gerrymandering claims nonjusticiable political questions,democracy; courts; partisan power; redistricting,Should federal courts decline to hear partisan-gerrymandering claims as political questions?,Low during one-person-one-vote judicial expansion; rises with judicial restraint/federalism doctrine,https://www.oyez.org/cases/2018/18-422,Pairs with Baker/Reynolds.
US-2020-BOSTOCK,lgbtq_labor,2020,Supreme Court,judicial_adoption,Bostock v. Clayton County,Interpret Title VII sex discrimination to cover sexual orientation and gender identity,statutory interpretation; sexuality; gender; employment,Should firing a worker for being gay or transgender violate Title VII's ban on sex discrimination?,Very low in 1930-1980; rises with LGBTQ rights and textualist legal arguments by 2010s,https://www.oyez.org/cases/2019/17-1618?os=0,Great test of old statutory text receiving new interpretation.
US-2020-CARES,crisis_social_insurance,2020,Congress,adoption,CARES Act,Provide large pandemic relief through checks expanded unemployment small-business support and emergency lending,crisis relief; fiscal capacity; unemployment insurance; business stabilization,Should Congress provide very large direct household and business relief during a pandemic shutdown?,Low outside crisis; rises in wartime/New Deal and spikes sharply in pandemic emergency,https://home.treasury.gov/policy-issues/coronavirus/about-the-cares-act,Pandemic crisis-policy benchmark.
US-2020-MCGIRT,native_policy,2020,Supreme Court,judicial_adoption,McGirt v. Oklahoma,Recognize that much of eastern Oklahoma remains reservation for major-crimes jurisdiction,tribal sovereignty; textualism; federal promises,Should old treaty promises preserve reservation status absent clear congressional disestablishment?,Low in termination/assimilation eras; rises with modern textualism and tribal-sovereignty jurisprudence,https://supreme.justia.com/cases/federal/us/591/18-9526/,Useful modern sovereignty/legal-method probe.
US-2022-BRUEN,guns,2022,Supreme Court,judicial_adoption,New York State Rifle & Pistol Association v. Bruen,Adopt history-and-tradition test and invalidate discretionary public-carry licensing,guns; originalism; public safety; individual rights,Should the Second Amendment protect public handgun carry unless modern regulations match historical tradition?,Low before modern gun-rights originalism; high after Heller and conservative legal movement,https://www.oyez.org/cases/2021/20-843,Major 2022 gun-rights row missing from v1.
US-2022-CHIPS,industrial_policy,2022,Congress,adoption,CHIPS and Science Act,Subsidize domestic semiconductor manufacturing and expand science and technology programs,industrial policy; national security; technology; supply chains,Should Congress subsidize domestic semiconductor manufacturing as an economic and national-security priority?,Low in laissez-faire/deregulatory frames; rising with China competition and supply-chain concerns,https://www.congress.gov/bill/117th-congress/house-bill/4346,Modern industrial-policy benchmark.
US-2022-DOBBS,privacy_family,2022,Supreme Court,judicial_invalidation,Dobbs v. Jackson Women's Health Organization,Overrule Roe and Casey and return abortion regulation to states,abortion; originalism; privacy; federalism,Should the Court overrule federal constitutional abortion protection and return the issue to states?,Low in 1970s liberal privacy era; rises in conservative legal movement and anti-abortion mobilization,https://supreme.justia.com/cases/federal/us/597/19-1392/,Critical reversal benchmark.
US-2022-IRA,climate_industrial_policy,2022,Congress,adoption,Inflation Reduction Act,Use tax credits spending and health provisions to accelerate clean energy and reduce drug costs,climate; industrial policy; health costs; fiscal politics,Should Congress use large tax incentives and spending to accelerate clean-energy investment and domestic climate-industrial policy?,Low before climate salience; rising after environmentalism and climate-policy mobilization,https://www.congress.gov/bill/117th-congress/house-bill/5376,Modern climate-industrial policy benchmark.
US-1930-SMOOT-HAWLEY,trade_political_economy,1930,Congress,adoption,Smoot-Hawley Tariff Act,Raise protective tariffs across a wide range of imported goods,protectionism; trade; farm distress; international retaliation,Should Congress sharply raise tariffs to protect domestic producers during economic distress?,Plausible in late-1920s protectionist politics; should fall after Depression-era criticism and reciprocal-trade turn,https://www.senate.gov/artandhistory/history/minute/Senate_Passes_Smoot_Hawley_Tariff.htm,Source-frame addition from Congress Project important legislation; early trade-policy anchor.
US-1932-RFC,finance_crisis_state_capacity,1932,Congress,adoption,Reconstruction Finance Corporation Act,"Create a federal lending corporation to support banks, railroads, agriculture, and industry",financial crisis; public credit; lender of last resort; emergency state capacity,Should the federal government create a public corporation to lend broadly during a financial crisis?,Low before the Depression; high during 1932-1930s crisis governance; later folded into broader stabilization policy,https://www.federalreservehistory.org/essays/reconstruction-finance-corporation,Congress Project early-crisis omission; useful pre-New Deal state-capacity row.
US-1932-NORRIS-LAGUARDIA,labor_courts,1932,Congress,adoption,Norris-LaGuardia Act,Limit federal court injunctions in labor disputes and protect nonviolent labor organizing,labor injunctions; union rights; judicial power; industrial conflict,Should Congress restrict federal courts from issuing injunctions against nonviolent labor activity?,Rising before the New Deal as anti-injunction politics matures; later becomes foundation for Wagner-era labor law,https://www.law.cornell.edu/uscode/text/29/chapter-6,Congress Project source-frame addition; pairs with NLRA and Taft-Hartley.
US-1933-CCC,public_employment_environment,1933,Congress,adoption,Emergency Conservation Work Act / Civilian Conservation Corps,"Create a federal work-relief corps for conservation, forestry, and public land projects",unemployment; conservation; youth work; federal relief; masculinity,Should the federal government employ young unemployed men in conservation and public-land work camps?,Low before mass unemployment crisis; high in early New Deal; later revives in green-jobs proposals,https://www.archives.gov/publications/prologue/2006/fall/ccc.html,Congress Project and Libgober addition; captures work relief plus conservation.
